country,year,sci_literacy,sci_trust,tech_acceptance,relative_salary,rd_budget_per_researcher,innovation_score,rd_gdp_pct,researchers_per_m,patent_apps,journal_articles,gdp_per_capita,gov_edu_exp_pct,internet_users_pct,hi_tech_export_pct,tertiary_enroll,mobile_subs_per100,secure_servers_per_m,youth_unemp_pct,tertiary_attainment,population,articles_per_m_log,patents_per_m_log,pisa_math,pisa_reading,country_name
ISL,2015,473.0,,,1.061389337641357,,57.02,2.18137,,40.0,615.26,53505.6964079339,7.45796012878418,98.19999695,20.1396578475779,75.6419982910156,116.004435688559,7611.50491966809,8.578,32.343291894634,330815.0,7.5287784536920865,4.8033117892043,488.0,482.0,ISL
ISL,2016,,,,1.053811659192825,,55.99,2.11011,,35.0,674.43,62854.0906407932,7.43221998214722,98.23999786,23.3894322573227,74.7006301879883,119.679414972554,35663.7123292163,6.317,34.919979784315,335439.0,7.606680289986556,4.657201555291056,,,ISL
ISL,2017,,,,1.1181467640541003,254287.90255504297,55.76,2.08365,5979.72684,36.0,641.27,72976.3729990975,7.58384990692139,98.2552011867973,26.3759840115862,71.3372497558594,116.796155223255,57638.322655795,7.544,36.9849307076824,343400.0,7.532845272139755,4.661871949924777,,,ISL
ISL,2018,475.0,,,1.1421264383053182,268044.5559811563,51.24,2.00081,5645.66563,56.0,720.82,75633.8651351915,7.56350994110107,99.0109539916991,23.4740318421698,69.3402328491211,116.581078859812,64762.2341737521,5.902,39.0388021816671,352721.0,7.622956568981036,5.073708429635362,495.0,474.0,ISL
ISL,2019,,,,1.16527933689468,,51.53,2.34018,,47.0,680.46,69296.3144361601,7.60129976272583,99.5049411693787,38.0792033549769,70.6093521118164,114.623232603271,70905.7779084376,8.449,36.142879486084,360563.0,7.543387361218445,4.877878458417866,,,ISL
ISL,2020,,,,1.164571753649456,,49.23,2.4864,,44.0,686.83,60127.9393575616,8.5838098526001,99.5327519,27.9589360661677,74.5906066894531,114.939418571031,75513.7626445235,9.872,36.6183090209961,366463.0,7.536477941414839,4.79634156392025,,,ISL
ISL,2021,,,,,282228.1487010159,51.8,2.78171,6941.30115,34.0,751.67,70425.4064277273,8.2265796661377,99.68701957,33.4874148657273,86.5232086181641,117.34255750797,78946.0968538602,11.831,,372520.0,7.6102574162332415,4.524721959258262,,,ISL
ISL,2022,447.0,,,,289324.3412116702,49.5,2.60089,6863.54747,,765.6,76350.4550416502,7.30798006057739,97.58339691,33.3116292542581,84.985237121582,120.114839781678,85331.790588032,8.421,34.2379611825299,382003.0,7.603485491689775,,459.0,436.0,ISL
ISL,2023,,,,,364300.32769746776,50.7,2.64005,5952.52033,,,82138.7892973557,,97.94860077,43.4245422764011,76.5200729370117,121.475495280706,87104.544641306,8.488,34.4636962573314,385663.0,,,,,ISL
ISR,2012,470.0,0.5259480894133546,0.562013636886496,1.586116075761537,,56.0,4.06028,,1319.0,11614.79,33321.4300881602,5.56122016906738,70.8,19.8939600431067,64.2354736328125,121.257449610793,900.448770621326,11.99,31.2236010686484,7910500.0,7.292524413530686,5.122417595785199,466.0,486.0,Israel
